symbol,side,resolution_status,quality_score,quality_grade,pullback_quality,risk_quality,reward_quality,breakout_context,trend_state,trend_regime,immediate_slope,is_extended_move,active_leg_boxes,tp1_hit,ideal_entry,invalidation,tp1,tp2,entry_price,exit_price,realized_r_multiple,reason,resolution_note,reference_ts,activated_ts,resolved_ts,setup_id
ETHUSDT,LONG,TP2,100.0,A,HEALTHY,TIGHT,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,1,2050.0,2040.0,2070.0,2080.0,2050.0,2080.0,3.0,Bullish pullback near support with acceptable close-confirmed risk profile,tp2_hit_after_tp1,1775212259999,1775220719999,1775330159999,e00367adf93f812217d40b1af01b0d903daae012
MEXC_FUT:BTCUSDT,LONG,TP2,100.0,A,HEALTHY,TIGHT,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,1,65800.0,65600.0,66200.0,66400.0,65800.0,66400.0,3.0,Bullish pullback near support with acceptable close-confirmed risk profile,tp2_hit_after_tp1,1773013499999,1774621679999,1774625039999,8a17cb7168ae8b37658b4114fd2cb7f8343d4c08
MEXC_FUT:ENAUSDT,LONG,TP2,90.0,A,HEALTHY,NORMAL,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,1,0.09925,0.09875,0.10025,0.10075,0.09925,0.10075,3.0,Bullish pullback near support with acceptable close-confirmed risk profile,tp2_hit_after_tp1,1772958239999,1772958299999,1772965439999,f4b6518e9d0a979b7b51455c98ed2a031396e009
MEXC_FUT:ENAUSDT,LONG,TP2,80.0,A,HEALTHY,NORMAL,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,1,0.09875,0.09825,0.09975,0.10025,0.09875,0.10025,3.0,Bullish pullback near support with acceptable close-confirmed risk profile,tp2_hit_after_tp1,1773017279999,1773021959999,1773025379999,9dd821013aa65f4539d7faafe8dfe824bcada1f1
MEXC_FUT:ENAUSDT,LONG,TP2,90.0,A,HEALTHY,NORMAL,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,1,0.10025,0.09975,0.10125,0.10175000000000001,0.10025,0.10175000000000001,3.0,Bullish pullback near support with acceptable close-confirmed risk profile,tp2_hit_after_tp1,1773032159999,1773032219999,1773034979999,26cea9ecf5e926395e85b5eb6dd1d0703d555d74
MEXC_FUT:ENAUSDT,LONG,TP2,80.0,A,HEALTHY,NORMAL,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,1,0.10025,0.09975,0.10125,0.10175000000000001,0.10025,0.10175000000000001,3.0,Bullish pullback near support with acceptable close-confirmed risk profile,tp2_hit_after_tp1,1773036359999,1773040679999,1773043319999,df772425653fbd0531cebb2f5f1eb6951ec5c4b4
MEXC_FUT:ENAUSDT,LONG,TP2,80.0,A,HEALTHY,NORMAL,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,1,0.10049999999999999,0.09999999999999999,0.10149999999999999,0.102,0.10049999999999999,0.102,3.0,Bullish pullback near support with acceptable close-confirmed risk profile,tp2_hit_after_tp1,1773045539999,1773055079999,1773062819999,826f5110e65fcedc67a70422e4e872e6a2735cbc
MEXC_FUT:ENAUSDT,LONG,TP2,90.0,A,HEALTHY,NORMAL,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,1,0.10149999999999999,0.10099999999999999,0.1025,0.103,0.10149999999999999,0.103,3.0,Bullish pullback near support with acceptable close-confirmed risk profile,tp2_hit_after_tp1,1773118199999,1773120239999,1773127499999,7066d9cd8b76246cca5dc284086874ebef085967
MEXC_FUT:ENAUSDT,LONG,TP2,90.0,A,HEALTHY,NORMAL,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,1,0.101,0.1005,0.10200000000000001,0.10250000000000001,0.101,0.10250000000000001,3.0,Bullish pullback near support with acceptable close-confirmed risk profile,tp2_hit_after_tp1,1773937919999,1773937979999,1773947219999,31155070e46e3e8cc280327053194e524c2d0d47
MEXC_FUT:ENAUSDT,LONG,TP2,80.0,A,HEALTHY,NORMAL,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,1,0.10075,0.10025,0.10175000000000001,0.10225000000000001,0.10075,0.10225000000000001,3.0,Bullish pullback near support with acceptable close-confirmed risk profile,tp2_hit_after_tp1,1774045559999,1774096499999,1774126199999,5e9f33c099e1443ee374e3315c02dce80b30e86a
MEXC_FUT:ENAUSDT,LONG,TP2,90.0,A,HEALTHY,NORMAL,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,1,0.09825,0.09775,0.09925,0.09975,0.09825,0.09975,3.0,Bullish pullback near support with acceptable close-confirmed risk profile,tp2_hit_after_tp1,1774143419999,1774143479999,1774150139999,1a796dbf9e07cc17c37157f6b3f67450efa9494e
MEXC_FUT:ENAUSDT,LONG,TP2,90.0,A,HEALTHY,NORMAL,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,1,0.09375,0.09325,0.09475,0.09525,0.09375,0.09525,3.0,Bullish pullback near support with acceptable close-confirmed risk profile,tp2_hit_after_tp1,1774343519999,1774343579999,1774351979999,0392330bb2c7bb26e317c254fd1a278392150ef9
MEXC_FUT:ENAUSDT,LONG,TP2,80.0,A,HEALTHY,NORMAL,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,1,0.08975,0.08925,0.09075,0.09125,0.08975,0.09125,3.0,Bullish pullback near support with acceptable close-confirmed risk profile,tp2_hit_after_tp1,1774975619999,1775008379999,1775015099999,32dee6a89b5fff44dedc625578e1c1c7d62723e7
MEXC_FUT:ETHUSDT,LONG,TP2,100.0,A,HEALTHY,TIGHT,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,1,1940.0,1930.0,1960.0,1970.0,1940.0,1970.0,3.0,Bullish pullback near support with acceptable close-confirmed risk profile,tp2_hit_after_tp1,1773018539999,1773022679999,1773025379999,d9a85aebf7286a9e639c1cf3b3ffabf1f10c54e3
MEXC_FUT:ETHUSDT,LONG,TP2,90.0,A,HEALTHY,TIGHT,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,1,1945.0,1935.0,1965.0,1975.0,1945.0,1975.0,3.0,Bullish pullback near support with acceptable close-confirmed risk profile,tp2_hit_after_tp1,1773026639999,1774824599999,1774825019999,14f0abb68c3c544e5f5abc3b5a793cc719fde2f8
MEXC_FUT:ETHUSDT,LONG,TP2,90.0,A,HEALTHY,TIGHT,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,1,2025.0,2015.0,2045.0,2055.0,2025.0,2055.0,3.0,Bullish pullback near support with acceptable close-confirmed risk profile,tp2_hit_after_tp1,1775143379999,1775392799999,1775402819999,315a139f40b14fd62ec6cfd9f7db03b52f951973
MEXC_FUT:SOLUSDT,LONG,TP2,100.0,A,HEALTHY,TIGHT,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,1,81.75,81.25,82.75,83.25,81.75,83.25,3.0,Bullish pullback near support with acceptable close-confirmed risk profile,tp2_hit_after_tp1,1773017759999,1773022679999,1773025499999,ca3e90e2e67759c1d1989ddebd5b19cabaacab5a
MEXC_FUT:SOLUSDT,LONG,TP2,90.0,A,HEALTHY,TIGHT,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,1,82.0,81.5,83.0,83.5,82.0,83.5,3.0,Bullish pullback near support with acceptable close-confirmed risk profile,tp2_hit_after_tp1,1773026639999,1774635899999,1774684679999,827fcdf552dc6f9e134b8161573cbb2f2de7c208
MEXC_FUT:SOLUSDT,LONG,TP2,100.0,A,HEALTHY,TIGHT,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,1,78.75,78.25,79.75,80.25,78.75,80.25,3.0,Bullish pullback near support with acceptable close-confirmed risk profile,tp2_hit_after_tp1,1775152499999,1775152559999,1775201759999,3297ec8455995e514b003bd00ec7c41d77b26e33
MEXC_FUT:SOLUSDT,LONG,TP2,100.0,A,HEALTHY,TIGHT,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,1,78.75,78.25,79.75,80.25,78.75,80.25,3.0,Bullish pullback near support with acceptable close-confirmed risk profile,tp2_hit_after_tp1,1775220599999,1775395679999,1775403119999,d870a79281fadad248c2d88e5c2ab135a8c103e8
MEXC_FUT:SUIUSDT,LONG,TP2,100.0,A,HEALTHY,TIGHT,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,1,0.865,0.8600000000000001,0.8749999999999998,0.8799999999999997,0.865,0.8799999999999997,3.0,Bullish pullback near support with acceptable close-confirmed risk profile,tp2_hit_after_tp1,1775578679999,1775578739999,1775583479999,eace2c65f2cee8f9f18609d06f21038096bf3788
SOLUSDT,LONG,TP2,100.0,A,HEALTHY,TIGHT,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,1,78.75,78.25,79.75,80.25,78.75,80.25,3.0,Bullish pullback near support with acceptable close-confirmed risk profile,tp2_hit_after_tp1,1775152679999,1775152739999,1775214059999,b6f8bbba0f356383ae815d1ecb82f39c11fce7bb
SOLUSDT,LONG,TP2,100.0,A,HEALTHY,TIGHT,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,1,79.25,78.75,80.25,80.75,79.25,80.75,3.0,Bullish pullback near support with acceptable close-confirmed risk profile,tp2_hit_after_tp1,1775220599999,1775221499999,1775315099999,25c48f30c358d4f93c12d2ee2dce563c931dc6c0
