threshold_name,symbol,active_direction,candidate_direction,reaction_kind,candidate_boxes,active_swing_boxes,reaction_ratio,required_boxes,column_id,completion_time,active_start_ts,active_end_ts
FAST,BTCUSDT,DOWN,UP,CONFIRMING,4,2,2,2,1,1774784639999,1774769399999,1774779599999
FAST,BTCUSDT,UP,DOWN,CONFIRMING,7,4,1.75,2,2,1774805159999,1774779599999,1774784639999
FAST,BTCUSDT,DOWN,UP,CONFIRMING,5,7,0.714285714286,2,3,1774815839999,1774784639999,1774805159999
FAST,BTCUSDT,UP,DOWN,CONFIRMING,16,5,3.2,2,4,1774824599999,1774805159999,1774815839999
FAST,BTCUSDT,DOWN,UP,CONFIRMING,11,16,0.6875,2.336,5,1774826219999,1774815839999,1774824599999
FAST,BTCUSDT,UP,DOWN,CONFIRMING,3,11,0.272727272727,2,6,1774827359999,1774824599999,1774826219999
FAST,BTCUSDT,DOWN,UP,CONFIRMING,10,3,3.33333333333,2,7,1774830059999,1774826219999,1774827359999
FAST,BTCUSDT,UP,DOWN,CONFIRMING,7,10,0.7,2,8,1774831979999,1774827359999,1774830059999
FAST,BTCUSDT,DOWN,UP,CONFIRMING,11,7,1.57142857143,2,9,1774839059999,1774830059999,1774831979999
FAST,BTCUSDT,UP,DOWN,CONFIRMING,3,11,0.272727272727,2,10,1774839899999,1774831979999,1774839059999
FAST,BTCUSDT,DOWN,UP,CONFIRMING,7,3,2.33333333333,2,11,1774846979999,1774839059999,1774839899999
FAST,BTCUSDT,UP,DOWN,CONFIRMING,4,7,0.571428571429,2,12,1774852619999,1774839899999,1774846979999
FAST,BTCUSDT,DOWN,UP,CONFIRMING,6,4,1.5,2,13,1774858619999,1774846979999,1774852619999
FAST,ETHUSDT,DOWN,UP,CONFIRMING,4,4,1,2,1,1774815839999,1774769579999,1774793219999
FAST,ETHUSDT,UP,DOWN,CONFIRMING,12,4,3,2,2,1774824599999,1774793219999,1774815839999
FAST,ETHUSDT,DOWN,UP,CONFIRMING,15,12,1.25,2,3,1774830059999,1774815839999,1774824599999
FAST,ETHUSDT,UP,DOWN,CONFIRMING,5,15,0.333333333333,2.19,4,1774831979999,1774824599999,1774830059999
FAST,ETHUSDT,DOWN,UP,CONFIRMING,14,5,2.8,2,5,1774858619999,1774830059999,1774831979999
FAST,SOLUSDT,DOWN,UP,CONFIRMING,3,5,0.6,2,1,1774815659999,1774769699999,1774805159999
FAST,SOLUSDT,UP,DOWN,CONFIRMING,10,3,3.33333333333,2,2,1774824599999,1774805159999,1774815659999
FAST,SOLUSDT,DOWN,UP,CONFIRMING,14,10,1.4,2,3,1774830059999,1774815659999,1774824599999
FAST,SOLUSDT,UP,DOWN,CONFIRMING,5,14,0.357142857143,2.044,4,1774831379999,1774824599999,1774830059999
FAST,SOLUSDT,DOWN,UP,CONFIRMING,10,5,2,2,5,1774858019999,1774830059999,1774831379999
BASE,BTCUSDT,DOWN,UP,CONFIRMING,4,2,2,3,1,1774784639999,1774769399999,1774779599999
BASE,BTCUSDT,UP,DOWN,CONFIRMING,7,4,1.75,3,2,1774805159999,1774779599999,1774784639999
BASE,BTCUSDT,DOWN,UP,CONFIRMING,5,7,0.714285714286,3,3,1774815839999,1774784639999,1774805159999
BASE,BTCUSDT,UP,DOWN,CONFIRMING,16,5,3.2,3,4,1774824599999,1774805159999,1774815839999
BASE,BTCUSDT,DOWN,UP,CONFIRMING,11,16,0.6875,3.776,5,1774826219999,1774815839999,1774824599999
BASE,BTCUSDT,UP,DOWN,CONFIRMING,3,11,0.272727272727,3,6,1774827359999,1774824599999,1774826219999
BASE,BTCUSDT,DOWN,UP,CONFIRMING,10,3,3.33333333333,3,7,1774830059999,1774826219999,1774827359999
BASE,BTCUSDT,UP,DOWN,CONFIRMING,7,10,0.7,3,8,1774831979999,1774827359999,1774830059999
BASE,BTCUSDT,DOWN,UP,CONFIRMING,11,7,1.57142857143,3,9,1774839059999,1774830059999,1774831979999
BASE,BTCUSDT,UP,DOWN,CONFIRMING,3,11,0.272727272727,3,10,1774839899999,1774831979999,1774839059999
BASE,BTCUSDT,DOWN,UP,CONFIRMING,7,3,2.33333333333,3,11,1774846979999,1774839059999,1774839899999
BASE,BTCUSDT,UP,DOWN,CONFIRMING,4,7,0.571428571429,3,12,1774852619999,1774839899999,1774846979999
BASE,BTCUSDT,DOWN,UP,CONFIRMING,6,4,1.5,3,13,1774858619999,1774846979999,1774852619999
BASE,ETHUSDT,DOWN,UP,CONFIRMING,4,4,1,3,1,1774815839999,1774769579999,1774793219999
BASE,ETHUSDT,UP,DOWN,CONFIRMING,12,4,3,3,2,1774824599999,1774793219999,1774815839999
BASE,ETHUSDT,DOWN,UP,CONFIRMING,15,12,1.25,3,3,1774830059999,1774815839999,1774824599999
BASE,ETHUSDT,UP,DOWN,CONFIRMING,5,15,0.333333333333,3.54,4,1774831979999,1774824599999,1774830059999
BASE,ETHUSDT,DOWN,UP,CONFIRMING,14,5,2.8,3,5,1774858619999,1774830059999,1774831979999
BASE,SOLUSDT,DOWN,UP,CONFIRMING,3,5,0.6,3,1,1774815659999,1774769699999,1774805159999
BASE,SOLUSDT,UP,DOWN,CONFIRMING,10,3,3.33333333333,3,2,1774824599999,1774805159999,1774815659999
BASE,SOLUSDT,DOWN,UP,CONFIRMING,14,10,1.4,3,3,1774830059999,1774815659999,1774824599999
BASE,SOLUSDT,UP,DOWN,CONFIRMING,5,14,0.357142857143,3.304,4,1774831379999,1774824599999,1774830059999
BASE,SOLUSDT,DOWN,UP,CONFIRMING,10,5,2,3,5,1774858019999,1774830059999,1774831379999
SLOW,BTCUSDT,DOWN,UP,INTERNAL,4,2,2,5,1,1774784639999,1774769399999,1774779599999
SLOW,BTCUSDT,DOWN,UP,CONFIRMING,5,5,1,5,3,1774815839999,1774769399999,1774805159999
SLOW,BTCUSDT,UP,DOWN,CONFIRMING,16,5,3.2,5,4,1774824599999,1774805159999,1774815839999
SLOW,BTCUSDT,DOWN,UP,CONFIRMING,11,16,0.6875,6.112,5,1774826219999,1774815839999,1774824599999
SLOW,BTCUSDT,UP,DOWN,INTERNAL,3,11,0.272727272727,5,6,1774827359999,1774824599999,1774826219999
SLOW,BTCUSDT,UP,DOWN,CONFIRMING,7,18,0.388888888889,6.876,8,1774831979999,1774824599999,1774830059999
SLOW,BTCUSDT,DOWN,UP,CONFIRMING,11,7,1.57142857143,5,9,1774839059999,1774830059999,1774831979999
SLOW,BTCUSDT,UP,DOWN,INTERNAL,3,11,0.272727272727,5,10,1774839899999,1774831979999,1774839059999
SLOW,BTCUSDT,UP,DOWN,INTERNAL,4,15,0.266666666667,5.73,12,1774852619999,1774831979999,1774846979999
SLOW,ETHUSDT,DOWN,UP,INTERNAL,4,4,1,5,1,1774815839999,1774769579999,1774793219999
SLOW,ETHUSDT,DOWN,UP,CONFIRMING,15,12,1.25,5,3,1774830059999,1774769579999,1774824599999
SLOW,ETHUSDT,UP,DOWN,INTERNAL,5,15,0.333333333333,5.73,4,1774831979999,1774824599999,1774830059999
SLOW,SOLUSDT,DOWN,UP,INTERNAL,3,5,0.6,5,1,1774815659999,1774769699999,1774805159999
SLOW,SOLUSDT,DOWN,UP,CONFIRMING,14,12,1.16666666667,5,3,1774830059999,1774769699999,1774824599999
SLOW,SOLUSDT,UP,DOWN,INTERNAL,5,14,0.357142857143,5.348,4,1774831379999,1774824599999,1774830059999
