threshold_name,min_pivot_boxes,min_pivot_ratio,symbol,harmonic_swing_id,direction,status,start_price,end_price,swing_boxes,swing_price_distance,start_ts,end_ts,birth_time,knowledge_time,knowledge_lag,knowledge_time_source,start_column_id,end_column_id,confirming_column_id,source_column_ids,reaction_column_ids,failed_extension_column_ids
FAST,2,0.146,BTCUSDT,BTCUSDT:FAST:000001,DOWN,CONFIRMED,66700,66500,2,200,1774769399999,1774779599999,1774784639999,1774784639999,5040000,end_ts_fallback,0,0,1,0|1,1,
FAST,2,0.146,BTCUSDT,BTCUSDT:FAST:000002,UP,CONFIRMED,66500,66900,4,400,1774779599999,1774784639999,1774805159999,1774805159999,20520000,end_ts_fallback,1,1,2,1|2,2,
FAST,2,0.146,BTCUSDT,BTCUSDT:FAST:000003,DOWN,CONFIRMED,66900,66200,7,700,1774784639999,1774805159999,1774815839999,1774815839999,10680000,end_ts_fallback,2,2,3,2|3,3,
FAST,2,0.146,BTCUSDT,BTCUSDT:FAST:000004,UP,CONFIRMED,66200,66700,5,500,1774805159999,1774815839999,1774824599999,1774824599999,8760000,end_ts_fallback,3,3,4,3|4,4,
FAST,2,0.146,BTCUSDT,BTCUSDT:FAST:000005,DOWN,CONFIRMED,66700,65100,16,1600,1774815839999,1774824599999,1774826219999,1774826219999,1620000,end_ts_fallback,4,4,5,4|5,5,
FAST,2,0.146,BTCUSDT,BTCUSDT:FAST:000006,UP,CONFIRMED,65100,66200,11,1100,1774824599999,1774826219999,1774827359999,1774827359999,1140000,end_ts_fallback,5,5,6,5|6,6,
FAST,2,0.146,BTCUSDT,BTCUSDT:FAST:000007,DOWN,CONFIRMED,66200,65900,3,300,1774826219999,1774827359999,1774830059999,1774830059999,2700000,end_ts_fallback,6,6,7,6|7,7,
FAST,2,0.146,BTCUSDT,BTCUSDT:FAST:000008,UP,CONFIRMED,65900,66900,10,1000,1774827359999,1774830059999,1774831979999,1774831979999,1920000,end_ts_fallback,7,7,8,7|8,8,
FAST,2,0.146,BTCUSDT,BTCUSDT:FAST:000009,DOWN,CONFIRMED,66900,66200,7,700,1774830059999,1774831979999,1774839059999,1774839059999,7080000,end_ts_fallback,8,8,9,8|9,9,
FAST,2,0.146,BTCUSDT,BTCUSDT:FAST:000010,UP,CONFIRMED,66200,67300,11,1100,1774831979999,1774839059999,1774839899999,1774839899999,840000,end_ts_fallback,9,9,10,9|10,10,
FAST,2,0.146,BTCUSDT,BTCUSDT:FAST:000011,DOWN,CONFIRMED,67300,67000,3,300,1774839059999,1774839899999,1774846979999,1774846979999,7080000,end_ts_fallback,10,10,11,10|11,11,
FAST,2,0.146,BTCUSDT,BTCUSDT:FAST:000012,UP,CONFIRMED,67000,67700,7,700,1774839899999,1774846979999,1774852619999,1774852619999,5640000,end_ts_fallback,11,11,12,11|12,12,
FAST,2,0.146,BTCUSDT,BTCUSDT:FAST:000013,DOWN,CONFIRMED,67700,67300,4,400,1774846979999,1774852619999,1774858619999,1774858619999,6000000,end_ts_fallback,12,12,13,12|13,13,
FAST,2,0.146,ETHUSDT,ETHUSDT:FAST:000001,DOWN,CONFIRMED,2005,1985,4,20,1774769579999,1774793219999,1774815839999,1774815839999,22620000,end_ts_fallback,0,0,1,0|1,1,
FAST,2,0.146,ETHUSDT,ETHUSDT:FAST:000002,UP,CONFIRMED,1985,2005,4,20,1774793219999,1774815839999,1774824599999,1774824599999,8760000,end_ts_fallback,1,1,2,1|2,2,
FAST,2,0.146,ETHUSDT,ETHUSDT:FAST:000003,DOWN,CONFIRMED,2005,1945,12,60,1774815839999,1774824599999,1774830059999,1774830059999,5460000,end_ts_fallback,2,2,3,2|3,3,
FAST,2,0.146,ETHUSDT,ETHUSDT:FAST:000004,UP,CONFIRMED,1945,2020,15,75,1774824599999,1774830059999,1774831979999,1774831979999,1920000,end_ts_fallback,3,3,4,3|4,4,
FAST,2,0.146,ETHUSDT,ETHUSDT:FAST:000005,DOWN,CONFIRMED,2020,1995,5,25,1774830059999,1774831979999,1774858619999,1774858619999,26640000,end_ts_fallback,4,4,5,4|5,5,
FAST,2,0.146,SOLUSDT,SOLUSDT:FAST:000001,DOWN,CONFIRMED,82.5,81.25,5,1.25,1774769699999,1774805159999,1774815659999,1774815659999,10500000,end_ts_fallback,0,0,1,0|1,1,
FAST,2,0.146,SOLUSDT,SOLUSDT:FAST:000002,UP,CONFIRMED,81.25,82,3,0.75,1774805159999,1774815659999,1774824599999,1774824599999,8940000,end_ts_fallback,1,1,2,1|2,2,
FAST,2,0.146,SOLUSDT,SOLUSDT:FAST:000003,DOWN,CONFIRMED,82,79.5,10,2.5,1774815659999,1774824599999,1774830059999,1774830059999,5460000,end_ts_fallback,2,2,3,2|3,3,
FAST,2,0.146,SOLUSDT,SOLUSDT:FAST:000004,UP,CONFIRMED,79.5,83,14,3.5,1774824599999,1774830059999,1774831379999,1774831379999,1320000,end_ts_fallback,3,3,4,3|4,4,
FAST,2,0.146,SOLUSDT,SOLUSDT:FAST:000005,DOWN,CONFIRMED,83,81.75,5,1.25,1774830059999,1774831379999,1774858019999,1774858019999,26640000,end_ts_fallback,4,4,5,4|5,5,
BASE,3,0.236,BTCUSDT,BTCUSDT:BASE:000001,DOWN,CONFIRMED,66700,66500,2,200,1774769399999,1774779599999,1774784639999,1774784639999,5040000,end_ts_fallback,0,0,1,0|1,1,
BASE,3,0.236,BTCUSDT,BTCUSDT:BASE:000002,UP,CONFIRMED,66500,66900,4,400,1774779599999,1774784639999,1774805159999,1774805159999,20520000,end_ts_fallback,1,1,2,1|2,2,
BASE,3,0.236,BTCUSDT,BTCUSDT:BASE:000003,DOWN,CONFIRMED,66900,66200,7,700,1774784639999,1774805159999,1774815839999,1774815839999,10680000,end_ts_fallback,2,2,3,2|3,3,
BASE,3,0.236,BTCUSDT,BTCUSDT:BASE:000004,UP,CONFIRMED,66200,66700,5,500,1774805159999,1774815839999,1774824599999,1774824599999,8760000,end_ts_fallback,3,3,4,3|4,4,
BASE,3,0.236,BTCUSDT,BTCUSDT:BASE:000005,DOWN,CONFIRMED,66700,65100,16,1600,1774815839999,1774824599999,1774826219999,1774826219999,1620000,end_ts_fallback,4,4,5,4|5,5,
BASE,3,0.236,BTCUSDT,BTCUSDT:BASE:000006,UP,CONFIRMED,65100,66200,11,1100,1774824599999,1774826219999,1774827359999,1774827359999,1140000,end_ts_fallback,5,5,6,5|6,6,
BASE,3,0.236,BTCUSDT,BTCUSDT:BASE:000007,DOWN,CONFIRMED,66200,65900,3,300,1774826219999,1774827359999,1774830059999,1774830059999,2700000,end_ts_fallback,6,6,7,6|7,7,
BASE,3,0.236,BTCUSDT,BTCUSDT:BASE:000008,UP,CONFIRMED,65900,66900,10,1000,1774827359999,1774830059999,1774831979999,1774831979999,1920000,end_ts_fallback,7,7,8,7|8,8,
BASE,3,0.236,BTCUSDT,BTCUSDT:BASE:000009,DOWN,CONFIRMED,66900,66200,7,700,1774830059999,1774831979999,1774839059999,1774839059999,7080000,end_ts_fallback,8,8,9,8|9,9,
BASE,3,0.236,BTCUSDT,BTCUSDT:BASE:000010,UP,CONFIRMED,66200,67300,11,1100,1774831979999,1774839059999,1774839899999,1774839899999,840000,end_ts_fallback,9,9,10,9|10,10,
BASE,3,0.236,BTCUSDT,BTCUSDT:BASE:000011,DOWN,CONFIRMED,67300,67000,3,300,1774839059999,1774839899999,1774846979999,1774846979999,7080000,end_ts_fallback,10,10,11,10|11,11,
BASE,3,0.236,BTCUSDT,BTCUSDT:BASE:000012,UP,CONFIRMED,67000,67700,7,700,1774839899999,1774846979999,1774852619999,1774852619999,5640000,end_ts_fallback,11,11,12,11|12,12,
BASE,3,0.236,BTCUSDT,BTCUSDT:BASE:000013,DOWN,CONFIRMED,67700,67300,4,400,1774846979999,1774852619999,1774858619999,1774858619999,6000000,end_ts_fallback,12,12,13,12|13,13,
BASE,3,0.236,ETHUSDT,ETHUSDT:BASE:000001,DOWN,CONFIRMED,2005,1985,4,20,1774769579999,1774793219999,1774815839999,1774815839999,22620000,end_ts_fallback,0,0,1,0|1,1,
BASE,3,0.236,ETHUSDT,ETHUSDT:BASE:000002,UP,CONFIRMED,1985,2005,4,20,1774793219999,1774815839999,1774824599999,1774824599999,8760000,end_ts_fallback,1,1,2,1|2,2,
BASE,3,0.236,ETHUSDT,ETHUSDT:BASE:000003,DOWN,CONFIRMED,2005,1945,12,60,1774815839999,1774824599999,1774830059999,1774830059999,5460000,end_ts_fallback,2,2,3,2|3,3,
BASE,3,0.236,ETHUSDT,ETHUSDT:BASE:000004,UP,CONFIRMED,1945,2020,15,75,1774824599999,1774830059999,1774831979999,1774831979999,1920000,end_ts_fallback,3,3,4,3|4,4,
BASE,3,0.236,ETHUSDT,ETHUSDT:BASE:000005,DOWN,CONFIRMED,2020,1995,5,25,1774830059999,1774831979999,1774858619999,1774858619999,26640000,end_ts_fallback,4,4,5,4|5,5,
BASE,3,0.236,SOLUSDT,SOLUSDT:BASE:000001,DOWN,CONFIRMED,82.5,81.25,5,1.25,1774769699999,1774805159999,1774815659999,1774815659999,10500000,end_ts_fallback,0,0,1,0|1,1,
BASE,3,0.236,SOLUSDT,SOLUSDT:BASE:000002,UP,CONFIRMED,81.25,82,3,0.75,1774805159999,1774815659999,1774824599999,1774824599999,8940000,end_ts_fallback,1,1,2,1|2,2,
BASE,3,0.236,SOLUSDT,SOLUSDT:BASE:000003,DOWN,CONFIRMED,82,79.5,10,2.5,1774815659999,1774824599999,1774830059999,1774830059999,5460000,end_ts_fallback,2,2,3,2|3,3,
BASE,3,0.236,SOLUSDT,SOLUSDT:BASE:000004,UP,CONFIRMED,79.5,83,14,3.5,1774824599999,1774830059999,1774831379999,1774831379999,1320000,end_ts_fallback,3,3,4,3|4,4,
BASE,3,0.236,SOLUSDT,SOLUSDT:BASE:000005,DOWN,CONFIRMED,83,81.75,5,1.25,1774830059999,1774831379999,1774858019999,1774858019999,26640000,end_ts_fallback,4,4,5,4|5,5,
SLOW,5,0.382,BTCUSDT,BTCUSDT:SLOW:000001,DOWN,CONFIRMED,66700,66200,5,500,1774769399999,1774805159999,1774815839999,1774815839999,10680000,end_ts_fallback,0,2,3,0|1|2|3,1|3,
SLOW,5,0.382,BTCUSDT,BTCUSDT:SLOW:000002,UP,CONFIRMED,66200,66700,5,500,1774805159999,1774815839999,1774824599999,1774824599999,8760000,end_ts_fallback,3,3,4,3|4,4,
SLOW,5,0.382,BTCUSDT,BTCUSDT:SLOW:000003,DOWN,CONFIRMED,66700,65100,16,1600,1774815839999,1774824599999,1774826219999,1774826219999,1620000,end_ts_fallback,4,4,5,4|5,5,
SLOW,5,0.382,BTCUSDT,BTCUSDT:SLOW:000004,UP,CONFIRMED,65100,66900,18,1800,1774824599999,1774830059999,1774831979999,1774831979999,1920000,end_ts_fallback,5,7,8,5|6|7|8,6|8,
SLOW,5,0.382,BTCUSDT,BTCUSDT:SLOW:000005,DOWN,CONFIRMED,66900,66200,7,700,1774830059999,1774831979999,1774839059999,1774839059999,7080000,end_ts_fallback,8,8,9,8|9,9,
SLOW,5,0.382,ETHUSDT,ETHUSDT:SLOW:000001,DOWN,CONFIRMED,2005,1945,12,60,1774769579999,1774824599999,1774830059999,1774830059999,5460000,end_ts_fallback,0,2,3,0|1|2|3,1|3,
SLOW,5,0.382,SOLUSDT,SOLUSDT:SLOW:000001,DOWN,CONFIRMED,82.5,79.5,12,3,1774769699999,1774824599999,1774830059999,1774830059999,5460000,end_ts_fallback,0,2,3,0|1|2|3,1|3,
